time_ms,neuron_0_voltage,neuron_1_voltage
2.977324262847999492e+01,7.165081928390194532e-01,6.525242141202607371e-01
2.979591836543999506e+01,1.431391650546988803e+00,1.303568781496579287e+00
2.981859410239999519e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.984126983935999533e+01,7.165081928390194532e-01,6.525242141202607371e-01
2.986394557631999547e+01,1.431391650546988803e+00,1.303568781496579287e+00
2.988662131327999205e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.990929705023999219e+01,7.165081928390194532e-01,6.525242141202607371e-01
2.993197278719999233e+01,1.431391650546988803e+00,1.303568781496579287e+00
2.995464852415999246e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.997732426111999260e+01,7.165081928390194532e-01,6.525242141202607371e-01
2.999999999807999274e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.002267573503999287e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.004535147199999301e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.006802720895999670e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.009070294591999328e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.011337868287999342e+01,7.165081928390194532e-01,6.525242141202607371e-01
3.013605441983999356e+01,1.431391650546988803e+00,1.303568781496579287e+00
3.015873015679999369e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.018140589375999383e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.020408163071999397e+01,1.502153903302900773e+00,1.641195519074382325e+00
3.022675736767999410e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.024943310463999424e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.027210884159999438e+01,1.502153903302900773e+00,1.641195519074382325e+00
3.029478457855999096e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.031746031551999110e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.034013605247999124e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.036281178943999137e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.038548752639999506e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.040816326335999520e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.043083900031999534e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.045351473727999547e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.047619047423999561e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.049886621119999219e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.052154194815999233e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.054421768511999247e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.056689342207999260e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.058956915903999274e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.061224489599999288e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.063492063295999301e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.065759636991999315e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.068027210687999329e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.070294784383999342e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.072562358079999356e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.074829931775999370e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.077097505471999384e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.079365079167999397e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.081632652863999411e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.083900226559999425e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.086167800255999438e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.088435373951999452e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.090702947647999110e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.092970521343999124e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.095238095039999138e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.097505668735999151e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.099773242431999165e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.102040816127999534e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.104308389823999548e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.106575963519999561e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.108843537215999575e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.111111110911999234e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.113378684607999247e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.115646258303999261e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.117913831999999275e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.120181405695999288e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.122448979391999302e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.124716553087999316e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.126984126783999329e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.129251700479999343e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.131519274175999001e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.133786847871999015e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.136054421567999029e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.138321995263999042e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.140589568959999056e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.142857142655999070e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.145124716351999083e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.147392290047999097e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.149659863743999821e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.151927437439999480e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.154195011135999493e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.156462584831999507e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.158730158527999521e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.160997732223999535e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.163265305919999548e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.165532879615999562e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.167800453311999576e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.170068027007999589e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.172335600703999248e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.174603174399999261e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.176870748095999275e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.179138321791999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.181405895487999302e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.183673469183999316e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.185941042879999330e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.188208616575999343e+01,7.874312688966391693e-01,9.909182851925093516e-01
3.190476190271999357e+01,1.573076979360520600e+00,1.979589590146630940e+00
3.192743763967999016e+01,0.000000000000000000e+00,0.000000000000000000e+00
