time_ms,neuron_index
2.099773242495999526e+01,1.000000000000000000e+00
2.106575963583999567e+01,0.000000000000000000e+00
2.106575963583999567e+01,1.000000000000000000e+00
2.113378684671999252e+01,0.000000000000000000e+00
2.113378684671999252e+01,1.000000000000000000e+00
2.120181405759999649e+01,0.000000000000000000e+00
2.120181405759999649e+01,1.000000000000000000e+00
2.126984126847999690e+01,0.000000000000000000e+00
2.126984126847999690e+01,1.000000000000000000e+00
2.133786847935999376e+01,0.000000000000000000e+00
2.133786847935999376e+01,1.000000000000000000e+00
2.140589569023999417e+01,0.000000000000000000e+00
2.140589569023999417e+01,1.000000000000000000e+00
2.147392290111999813e+01,0.000000000000000000e+00
2.147392290111999813e+01,1.000000000000000000e+00
2.154195011199999499e+01,0.000000000000000000e+00
2.154195011199999499e+01,1.000000000000000000e+00
2.160997732287999540e+01,0.000000000000000000e+00
2.160997732287999540e+01,1.000000000000000000e+00
2.167800453375999581e+01,0.000000000000000000e+00
2.167800453375999581e+01,1.000000000000000000e+00
2.174603174463999267e+01,0.000000000000000000e+00
2.174603174463999267e+01,1.000000000000000000e+00
2.181405895551999663e+01,0.000000000000000000e+00
2.181405895551999663e+01,1.000000000000000000e+00
2.188208616639999704e+01,0.000000000000000000e+00
2.188208616639999704e+01,1.000000000000000000e+00
2.195011337727999390e+01,0.000000000000000000e+00
2.195011337727999390e+01,1.000000000000000000e+00
2.201814058815999431e+01,0.000000000000000000e+00
2.201814058815999431e+01,1.000000000000000000e+00
2.208616779903999472e+01,0.000000000000000000e+00
2.208616779903999472e+01,1.000000000000000000e+00
2.215419500991999513e+01,0.000000000000000000e+00
2.215419500991999513e+01,1.000000000000000000e+00
2.222222222079999554e+01,0.000000000000000000e+00
2.222222222079999554e+01,1.000000000000000000e+00
2.229024943167999595e+01,0.000000000000000000e+00
2.229024943167999595e+01,1.000000000000000000e+00
2.235827664255999281e+01,0.000000000000000000e+00
2.235827664255999281e+01,1.000000000000000000e+00
2.244897959039999691e+01,0.000000000000000000e+00
2.244897959039999691e+01,1.000000000000000000e+00
2.251700680127999732e+01,0.000000000000000000e+00
2.251700680127999732e+01,1.000000000000000000e+00
2.260770974911999431e+01,0.000000000000000000e+00
2.260770974911999431e+01,1.000000000000000000e+00
2.335600906879999172e+01,0.000000000000000000e+00
2.335600906879999172e+01,1.000000000000000000e+00
2.346938775359999596e+01,0.000000000000000000e+00
2.346938775359999596e+01,1.000000000000000000e+00
2.353741496447999637e+01,0.000000000000000000e+00
2.353741496447999637e+01,1.000000000000000000e+00
2.360544217535999323e+01,0.000000000000000000e+00
2.360544217535999323e+01,1.000000000000000000e+00
2.367346938623999364e+01,0.000000000000000000e+00
2.367346938623999364e+01,1.000000000000000000e+00
2.374149659711999760e+01,0.000000000000000000e+00
2.374149659711999760e+01,1.000000000000000000e+00
2.380952380799999446e+01,0.000000000000000000e+00
2.380952380799999446e+01,1.000000000000000000e+00
2.387755101887999487e+01,0.000000000000000000e+00
2.387755101887999487e+01,1.000000000000000000e+00
2.394557822975999528e+01,0.000000000000000000e+00
2.394557822975999528e+01,1.000000000000000000e+00
2.401360544063999214e+01,0.000000000000000000e+00
2.401360544063999214e+01,1.000000000000000000e+00
2.408163265151999610e+01,0.000000000000000000e+00
2.408163265151999610e+01,1.000000000000000000e+00
2.414965986239999651e+01,0.000000000000000000e+00
2.414965986239999651e+01,1.000000000000000000e+00
2.421768707327999337e+01,0.000000000000000000e+00
2.421768707327999337e+01,1.000000000000000000e+00
2.428571428415999378e+01,0.000000000000000000e+00
